[CODECSTATS]
CodecsTotal=370
CodecsVer=0.7.0

[#EVENT/#THIS/IDCODECS]
wav	---	---	DEA D 	pcm_f64le	unregistered	Y	PCM 64-bit floating point little-endian
---	---	---	D A D 	pcm_lxf	unregistered	Y	PCM signed 20-bit little-endian planar
wav	---	---	DEA D 	pcm_mulaw	unregistered	Y	mu-law PCM
wav	---	---	DEA D 	pcm_s16be	unregistered	Y	PCM signed 16-bit big-endian
wav	---	---	DEA D 	pcm_s16le	PCM / WAV	Y	PCM signed 16-bit little-endian
wav	---	---	D A D 	pcm_s16le_planar	unregistered	Y	PCM 16-bit little-endian planar
wav	---	---	DEA D 	pcm_s24be	unregistered	Y	PCM signed 24-bit big-endian
wav	---	---	DEA D 	pcm_s24daud	unregistered	Y	PCM D-Cinema audio signed 24-bit
wav	---	---	DEA D 	pcm_s24le	unregistered	Y	PCM signed 24-bit little-endian
wav	---	---	DEA D 	pcm_s32be	unregistered	Y	PCM signed 32-bit big-endian
wav	---	---	DEA D 	pcm_s32le	unregistered	Y	PCM signed 32-bit little-endian
wav	---	---	DEA D 	pcm_s8	unregistered	Y	PCM signed 8-bit
---	---	---	D A D 	pcm_s8_planar	unregistered	Y	PCM signed 8-bit planar
wav	---	---	DEA D 	pcm_u16be	unregistered	Y	PCM unsigned 16-bit big-endian
wav	---	---	DEA D 	pcm_u16le	unregistered	Y	PCM unsigned 16-bit little-endian
wav	---	---	DEA D 	pcm_u24be	unregistered	Y	PCM unsigned 24-bit big-endian
wav	---	---	DEA D 	pcm_u24le	unregistered	Y	PCM unsigned 24-bit little-endian
wav	---	---	DEA D 	pcm_u32be	unregistered	Y	PCM unsigned 32-bit big-endian
wav	---	---	DEA D 	pcm_u32le	unregistered	Y	PCM unsigned 32-bit little-endian
wav	---	---	DEA D 	pcm_u8	unregistered	Y	PCM unsigned 8-bit
wav	---	---	D A D 	pcm_zork	unregistered	Y	Zork PCM
pcx	---	---	DEV D 	pcx	unregistered	Y	PC Paintbrush PCX image
---	---	---	DEV D 	pgm	unregistered	Y	PGM (Portable GrayMap) image
---	---	---	DEV D 	pgmyuv	unregistered	Y	PGMYUV (Portable GrayMap YUV) image
---	---	---	D S   	pgssub	unregistered	Y	HDMV Presentation Graphic Stream subtitles
---	---	---	D V D 	pictor	unregistered	Y	Pictor/PC Paint
png	---	---	DEV D 	png	unregistered	Y	PNG image
ppm	---	---	DEV D 	ppm	unregistered	Y	PPM (Portable PixelMap) image
---	---	---	DEV D 	prores	unregistered	Y	Apple ProRes
---	---	---	 EV   	prores_anatoliy	unregistered	Y	Apple ProRes
---	---	---	 EV   	prores_kostya	unregistered	Y	Apple ProRes (iCodec Pro)
---	---	---	D V D 	ProRes_lgpl	unregistered	Y	Apple ProRes (iCodec Pro)
ptx	---	---	D V D 	ptx	unregistered	Y	V.Flash PTX image
---	---	---	D A D 	qcelp	unregistered	Y	QCELP / PureVoice
---	---	---	D A D 	qdm2	unregistered	Y	QDesign Music Codec 2
---	---	---	D V D 	qdraw	unregistered	Y	Apple QuickDraw
---	---	---	D V D 	qpeg	unregistered	Y	Q-team QPEG
---	---	---	DEV D 	qtrle	unregistered	Y	QuickTime Animation (RLE) video
---	---	---	DEV D 	r10k	unregistered	Y	AJA Kona 10-bit RGB Codec
---	---	---	DEV D 	r210	unregistered	Y	Uncompressed RGB 10-bit
---	---	---	D A D 	ralf	unregistered	Y	RealAudio Lossless
avi	raw	avi	DEV   	rawvideo	unregistered	Y	raw video
ra	---	---	DEA D 	real_144	unregistered	Y	RealAudio 1.0 (14.4K)
ra	---	---	D A D 	real_288	unregistered	Y	RealAudio 2.0 (28.8K)
---	---	---	D S   	realtext	unregistered	Y	RealText subtitle
---	---	---	D V D 	rl2	unregistered	Y	RL2 video
